id,division id,division name,game id,date,start time,end time,field id,field name,home id,home name,home score,away id,away name,away score
164032,4281,U6 Coed,,9/9/2023,12:30,13:30,454846,Robious Middle School 9F 3v3,121388,U6C Team Franklin/Malhotra,,121387,U6C Team Swenck,
164033,4281,U6 Coed,,9/16/2023,13:30,14:30,454843,Robious Middle School 9D 3v3,121387,U6C Team Swenck,,123789,U5U6C SOUTH Team Loughrey,
164034,4281,U6 Coed,,9/16/2023,10:30,11:30,454846,Robious Middle School 9F 3v3,130470,U6C Team Fairclough,,129425,U6C Team Ellmore Wednesday 5:30 8B,
164035,4281,U6 Coed,,9/16/2023,10:30,11:30,478675,Horner Park 8 A 3v3,133770,U6C Team Hall,,130085,U5U6C SOUTH Team Roque/Halpin,
164036,4281,U6 Coed,,9/16/2023,12:30,13:30,454843,Robious Middle School 9D 3v3,132740,U6C Team Bowman Friday 5:30 R8A,,133771,U6C Team Montoya,
164037,4281,U6 Coed,,9/16/2023,12:30,13:30,454846,Robious Middle School 9F 3v3,131677,U6C Team Edwards Friday 5:30 R8C,,136649,U6C Team Innes,
164038,4281,U6 Coed,,9/16/2023,11:30,12:30,454846,Robious Middle School 9F 3v3,122529,U6C Team Gallagher,,121385,U6C Team Marano/Chamberlain,
164039,4281,U6 Coed,,9/16/2023,13:30,14:30,454846,Robious Middle School 9F 3v3,121388,U6C Team Franklin/Malhotra,,121386,U6C Team Endy Monday 5:30 R8D,
164040,4281,U6 Coed,,9/23/2023,13:30,14:30,454846,Robious Middle School 9F 3v3,130470,U6C Team Fairclough,,122529,U6C Team Gallagher,
164041,4281,U6 Coed,,9/23/2023,11:30,12:30,454846,Robious Middle School 9F 3v3,133771,U6C Team Montoya,,121386,U6C Team Endy Monday 5:30 R8D,
164042,4281,U6 Coed,,9/23/2023,10:30,11:30,454846,Robious Middle School 9F 3v3,121385,U6C Team Marano/Chamberlain,,129425,U6C Team Ellmore Wednesday 5:30 8B,
164043,4281,U6 Coed,,9/23/2023,12:30,13:30,454843,Robious Middle School 9D 3v3,131677,U6C Team Edwards Friday 5:30 R8C,,133770,U6C Team Hall,
164044,4281,U6 Coed,,9/23/2023,10:30,11:30,478675,Horner Park 8 A 3v3,132740,U6C Team Bowman Friday 5:30 R8A,,123789,U5U6C SOUTH Team Loughrey,
164045,4281,U6 Coed,,9/23/2023,13:30,14:30,454843,Robious Middle School 9D 3v3,136649,U6C Team Innes,,121388,U6C Team Franklin/Malhotra,
164046,4281,U6 Coed,,9/23/2023,12:30,13:30,454846,Robious Middle School 9F 3v3,130085,U5U6C SOUTH Team Roque/Halpin,,121387,U6C Team Swenck,
164047,4281,U6 Coed,,9/30/2023,10:30,11:30,454846,Robious Middle School 9F 3v3,130470,U6C Team Fairclough,,121388,U6C Team Franklin/Malhotra,
164048,4281,U6 Coed,,9/30/2023,10:30,11:30,478675,Horner Park 8 A 3v3,123789,U5U6C SOUTH Team Loughrey,,136649,U6C Team Innes,
164049,4281,U6 Coed,,9/30/2023,11:30,12:30,454846,Robious Middle School 9F 3v3,121387,U6C Team Swenck,,122529,U6C Team Gallagher,
164050,4281,U6 Coed,,9/30/2023,12:30,13:30,454843,Robious Middle School 9D 3v3,129425,U6C Team Ellmore Wednesday 5:30 8B,,132740,U6C Team Bowman Friday 5:30 R8A,
164051,4281,U6 Coed,,9/30/2023,12:30,13:30,454846,Robious Middle School 9F 3v3,133771,U6C Team Montoya,,133770,U6C Team Hall,
164052,4281,U6 Coed,,9/30/2023,13:30,14:30,454843,Robious Middle School 9D 3v3,121385,U6C Team Marano/Chamberlain,,131677,U6C Team Edwards Friday 5:30 R8C,
